Recall,Precision,Threshold
1.0,0.0425,4.4946806e-05
1.0,0.04252657911194497,4.5096258e-05
1.0,0.0425531914893617,4.5133816e-05
1.0,0.042579837194740136,4.548371e-05
1.0,0.042606516290726815,4.550133e-05
1.0,0.042633228840125395,4.5595454e-05
1.0,0.04265997490589712,4.5898432e-05
1.0,0.04268675455116133,4.6568628e-05
1.0,0.04271356783919598,4.689694e-05
1.0,0.04274041483343809,4.7015157e-05
1.0,0.042767295597484274,4.721208e-05
1.0,0.042794210195091255,4.7643603e-05
1.0,0.042821158690176324,4.7645328e-05
1.0,0.0428481411468179,4.7673282e-05
1.0,0.04287515762925599,4.8307254e-05
1.0,0.04290220820189274,4.837922e-05
1.0,0.04292929292929293,4.8610404e-05
1.0,0.04295641187618446,4.8899732e-05
1.0,0.04298356510745891,4.9081096e-05
1.0,0.043010752688172046,4.9103757e-05
1.0,0.043037974683544304,4.9369602e-05
1.0,0.04306523115896137,4.957005e-05
1.0,0.043092522179974654,4.9612947e-05
1.0,0.04311984781230184,4.964925e-05
1.0,0.04314720812182741,4.965905e-05
1.0,0.04317460317460318,4.990915e-05
1.0,0.043202033036848796,4.9933427e-05
1.0,0.04322949777495232,5.0379636e-05
1.0,0.043256997455470736,5.0595234e-05
1.0,0.04328453214513049,5.077422e-05
1.0,0.04331210191082802,5.096749e-05
1.0,0.043339706819630335,5.1385683e-05
1.0,0.04336734693877551,5.1584182e-05
1.0,0.04339502233567326,5.1620005e-05
1.0,0.04342273307790549,5.234134e-05
1.0,0.043450479233226834,5.2489595e-05
1.0,0.043478260869565216,5.274007e-05
1.0,0.04350607805502239,5.2824173e-05
1.0,0.04353393085787452,5.284423e-05
1.0,0.04356181934657271,5.3204196e-05
1.0,0.04358974358974359,5.3358206e-05
1.0,0.04361770365618987,5.341054e-05
1.0,0.043645699614890884,5.3651336e-05
1.0,0.04367373153500321,5.4170425e-05
1.0,0.043701799485861184,5.4819386e-05
1.0,0.04372990353697749,5.489309e-05
1.0,0.043758043758043756,5.5271343e-05
1.0,0.0437862202189311,5.559295e-05
1.0,0.04381443298969072,5.5612356e-05
1.0,0.04384268214055448,5.569154e-05
1.0,0.04387096774193548,5.5781577e-05
1.0,0.04389928986442866,5.5794346e-05
1.0,0.04392764857881137,5.5797696e-05
1.0,0.04395604395604396,5.580568e-05
1.0,0.04398447606727038,5.6076147e-05
1.0,0.04401294498381877,5.6135963e-05
1.0,0.04404145077720207,5.650817e-05
1.0,0.0440699935191186,5.6743014e-05
1.0,0.04409857328145266,5.675216e-05
1.0,0.04412719013627515,5.72652e-05
1.0,0.04415584415584416,5.7756864e-05
1.0,0.044184535412605586,5.7977762e-05
1.0,0.044213263979193757,5.8086727e-05
1.0,0.04424202992843201,5.8118258e-05
1.0,0.044270833333333336,5.8227764e-05
1.0,0.04429967426710098,5.895608e-05
1.0,0.04432855280312908,5.8990776e-05
1.0,0.04435746901500326,5.9034614e-05
1.0,0.044386422976501305,5.9100064e-05
1.0,0.04441541476159373,5.9157464e-05
1.0,0.044444444444444446,5.936198e-05
1.0,0.04447351209941138,6.0231396e-05
1.0,0.04450261780104712,6.036739e-05
1.0,0.04453176162409954,6.0411334e-05
1.0,0.04456094364351245,6.0475253e-05
1.0,0.04459016393442623,6.0837927e-05
1.0,0.04461942257217848,6.135091e-05
1.0,0.04464871963230466,6.137139e-05
1.0,0.04467805519053877,6.1452854e-05
1.0,0.044707429322813935,6.158626e-05
1.0,0.04473684210526316,6.160335e-05
1.0,0.04476629361421988,6.167283e-05
1.0,0.04479578392621871,6.177395e-05
1.0,0.04482531311799604,6.1791805e-05
1.0,0.044854881266490766,6.2133746e-05
1.0,0.044884488448844885,6.219623e-05
1.0,0.04491413474240423,6.350541e-05
1.0,0.0449438202247191,6.365693e-05
1.0,0.04497354497354497,6.416718e-05
1.0,0.04500330906684315,6.517754e-05
1.0,0.045033112582781455,6.559042e-05
1.0,0.04506295559973492,6.565708e-05
1.0,0.04509283819628647,6.638607e-05
